downcase_name,downcase_name
dyspepsia,114
pediatric obesity,114
nodal marginal zone b-cell lymphoma,114
inguinal hernia,114
fever,114
renal transplantation,114
recurrent adult acute lymphoblastic leukemia,114
thyroid cancer,113
"unspecified childhood solid tumor, protocol specific",113
"multiple sclerosis, relapsing-remitting",113
extranodal marginal zone b-cell lymphoma of mucosa-associated lymphoid tissue,112
post traumatic stress disorder,112
emphysema,111
"renal insufficiency, chronic",110
tobacco dependence,110
chronic myeloproliferative disorders,110
impaired glucose tolerance,109
sleep disorders,109
cough,109
severe sepsis,109
rehabilitation,109
keratoconus,109
stage iiib non-small cell lung cancer,109
social anxiety disorder,109
iron deficiency,109
untreated adult acute myeloid leukemia,108
dyspnea,108
breastfeeding,108
recurrent melanoma,107
hematologic malignancies,107
"infection, human immunodeficiency virus",107
bacterial infections,107
acute ischemic stroke,107
migraine disorders,107
sleep initiation and maintenance disorders,107
adenocarcinoma of the prostate,107
breast cancer female,107
myelofibrosis,107
"osteoarthritis, hip",107
pregnancy related,106
"stroke, acute",106
mesothelioma,106
colorectal carcinoma,105
opioid dependence,105
gliosarcoma,105
insulin sensitivity,105
metastatic renal cell carcinoma,105
gastric adenocarcinoma,105
recurrent adult burkitt lymphoma,105
herpes zoster,105
uterine fibroids,105
"influenza, human",104
rotator cuff tear,104
restless legs syndrome,104
stage iv prostate cancer,104
prostate adenocarcinoma,104
diabetic foot,103
adolescent behavior,103
hemiparesis,103
precancerous condition,103
metastatic pancreatic cancer,102
systemic sclerosis,102
preeclampsia,102
autistic disorder,102
stage ii breast cancer,102
borderline personality disorder,102
respiratory distress syndrome,102
osteosarcoma,102
general anesthesia,102
stage iv melanoma,101
suicidal ideation,101
adult acute myeloid leukemia with del(5q),101
angina pectoris,100
recurrent prostate cancer,100
skin cancer,100
hypothermia,100
"colitis, ulcerative",99
bariatric surgery candidate,99
paroxysmal atrial fibrillation,99
peripheral t-cell lymphoma,99
bronchiolitis,99
palliative care,99
seizures,99
sedation,99
bronchiectasis,99
pre-diabetes,98
aphasia,98
peripheral neuropathy,98
accidental falls,97
anxiety disorder,97
recurrent adult diffuse small cleaved cell lymphoma,97
clostridium difficile infection,97
"hypertension, pulmonary",97
recurrent adult lymphoblastic lymphoma,97
intermittent claudication,97
adult acute myeloid leukemia with t(15;17)(q22;q12),97
liver diseases,97
celiac disease,97
acquired immunodeficiency syndrome,97
graft vs host disease,97
chronic renal failure,96
musculoskeletal pain,96
kidney failure,96
dry eye syndrome,96
neuromuscular blockade,96
breast neoplasm,95
abdominal pain,95
esophageal neoplasms,95
recurrent adult diffuse mixed cell lymphoma,95
chest pain,95
pressure ulcer,95
post-operative pain,95
myeloma,95
arrhythmia,94
rectal neoplasms,94
epithelial ovarian cancer,94
brain cancer,94
tobacco use cessation,94
urinary tract infection,93
diffuse large b cell lymphoma,93
wound infection,93
anaplastic large cell lymphoma,93
weight gain,93
allergic conjunctivitis,93
"pain, acute",93
anaplastic astrocytoma,93
refractory multiple myeloma,93
parenting,93
uveitis,92
recurrent adult hodgkin lymphoma,92
acute myeloid leukemia (aml),92
degenerative disc disease,92
hip fracture,92
kidney disease,91
lower urinary tract symptoms,91
subarachnoid hemorrhage,91
mood disorders,91
respiratory tract infections,91
lupus nephritis,90
mental health,90
breast carcinoma,90
"arthroplasty, replacement, knee",90
aortic stenosis,90
ischemia,90
amputation,90
hyperphosphatemia,89
aml,89
wounds and injuries,89
her2-positive breast cancer,88
gerd,88
hiv-1-infection,88
waldenström macroglobulinemia,88
gastroparesis,88
advanced solid tumor,88
liver neoplasms,88
acromegaly,88
gastrointestinal cancer,88
recurrent non-small cell lung cancer,88
acute respiratory failure,88
secondary hyperparathyroidism,87
prematurity,87
ventricular tachycardia,87
sleep deprivation,87
periodontal diseases,87
hemiplegia,86
angioimmunoblastic t-cell lymphoma,86
recurrent primary peritoneal carcinoma,86
appendicitis,86
pneumococcal infections,86
pain management,86
"anesthesia, local",86
glucose metabolism disorders,86
cognitive decline,86
haemophilus influenzae type b,86
essential tremor,86
recurrent adult immunoblastic large cell lymphoma,86
esophageal squamous cell carcinoma,86
child development,86
child,86
percutaneous coronary intervention,86
refractive error,85
mechanical ventilation,85
relapsing-remitting multiple sclerosis,85
rosacea,85
primary peritoneal carcinoma,85
tobacco use,85
neoplasm,85
biliary tract cancer,85
primary myelofibrosis,85
sinusitis,85
"obesity, morbid",85
age related macular degeneration,85
pancreas cancer,84
recurrent fallopian tube carcinoma,84
previously treated myelodysplastic syndromes,84
recurrent cutaneous t-cell non-hodgkin lymphoma,83
obsessive compulsive disorder,83
cancer survivor,83
acute lymphocytic leukemia,83
recurrent breast carcinoma,83
critically ill,83
colonic neoplasms,83
bacterial vaginosis,83
sickle cell anemia,83
portal hypertension,83
tourette syndrome,83
hodgkin's lymphoma,83
respiratory syncytial virus infections,82
bone metastases,82
stage iv pancreatic cancer,82
stable angina,82
acne,82
growth hormone deficiency,82
atrial flutter,82
meningitis,81
opioid-use disorder,81
eczema,81
aplastic anemia,81
pre-eclampsia,81
sarcoidosis,81
cervical intraepithelial neoplasia,81
body weight,81
venous thrombosis,80
stage iiia non-small cell lung cancer,80
vitiligo,80
postpartum depression,80
non-small-cell lung cancer,80
kidney transplant,80
"lupus erythematosus, systemic",80
glucose intolerance,80
diabetic foot ulcers,80
retinitis pigmentosa,79
open angle glaucoma,79
down syndrome,79
onychomycosis,79
fatty liver,78
proteinuria,78
clear cell renal cell carcinoma,78
recurrent mycosis fungoides/sezary syndrome,78
social phobia,78
persistent atrial fibrillation,78
adult gliosarcoma,77
mucositis,77
hip osteoarthritis,77
acute lung injury,77
drug abuse,77
acute leukemia,77
hodgkin's disease,77
opiate dependence,77
liver disease,77
hyperlipidemias,77
adult glioblastoma,77
stage iv renal cell cancer,77
sexual dysfunction,77
coronary arteriosclerosis,77
obstructive sleep apnea syndrome,76
hepatitis c virus,76
estrogen receptor negative,76
acute stroke,76
"glaucoma, open-angle",76
retinal vein occlusion,76
waldenstrom macroglobulinemia,76
autism spectrum disorders,76
cesarean section complications,76
relapsing remitting multiple sclerosis,76
hepatic encephalopathy,75
male breast cancer,75
cardiopulmonary bypass,75
communication,75
peritoneal cancer,75
chemotherapy-induced nausea and vomiting,74
adult acute myeloid leukemia in remission,74
bipolar i disorder,74
adult giant cell glioblastoma,74
cerebral infarction,74
anaemia,74
myelodysplastic/myeloproliferative neoplasms,74
dental plaque,74
basal cell carcinoma,74
myelodysplastic syndrome (mds),74
radiation toxicity,74
intracerebral hemorrhage,73
"anesthesia, general",73
prostatic hyperplasia,73
fabry disease,73
cardiomyopathy,73
progesterone receptor negative,73
thromboembolism,73
patellofemoral pain syndrome,73
autoimmune diseases,73
spinal stenosis,73
diabetic neuropathies,73
unstable angina,73
recurrent rectal cancer,73
recurrent colon cancer,73
non-small-cell lung carcinoma,73
hematopoietic stem cell transplantation,73
common cold,73
pancreatitis,73
advanced cancers,73
hodgkin disease,73
polycythemia vera,73
pruritus,73
"rhinitis, allergic, seasonal",72
treatment resistant depression,72
pelvic pain,72
abdominal aortic aneurysm,72
safety,72
nerve block,72
tobacco smoking,71
post operative pain,71
alcohol consumption,71
scoliosis,71
functional dyspepsia,71
"carcinoma, squamous cell",71
cerebrovascular disorders,71
b-cell chronic lymphocytic leukemia,71
bariatric surgery,70
recurrent plasma cell myeloma,70
de novo myelodysplastic syndromes,70
nonalcoholic steatohepatitis,70
stage ia breast cancer,70
diabetes type 2,70
wounds,70
healthy adults,70
hyperuricemia,70
eating disorders,70
stage ib breast cancer,70
pancreatic ductal adenocarcinoma,70
measles,70
intubation,70
recurrent adult t-cell leukemia/lymphoma,70
neovascular age-related macular degeneration,70
behavior,70
interstitial cystitis,70
recurrent ovarian epithelial cancer,69
menorrhagia,69
bacteremia,69
"pain, chronic",69
motor activity,69
interstitial lung disease,69
mood,69
amblyopia,69
aged,68
recurrent adult grade iii lymphomatoid granulomatosis,68
recurrent childhood acute lymphoblastic leukemia,68
sleep disturbance,68
relapsing chronic myelogenous leukemia,68
"lymphoma, b-cell",68
hematologic diseases,68
metastasis,68
cytomegalovirus infections,68
advanced breast cancer,67
refractory plasma cell myeloma,67
"lymphoma, large b-cell, diffuse",67
eosinophilic esophagitis,67
triple-negative breast carcinoma,67
small intestine cancer,67
mds,67
choroidal neovascularization,67
colorectal cancer metastatic,67
prediabetic state,67
high blood pressure,67
cognitive function,67
primary open angle glaucoma,67
primary peritoneal cancer,67
rhabdomyosarcoma,66
stage iii pancreatic cancer,66
hemophilia b,66
juvenile idiopathic arthritis,66
bradycardia,66
surgical wound infection,66
mental health wellness 1,66
ovarian carcinoma,66
brain neoplasms,66
alopecia areata,66
primary insomnia,66
thalassemia,66
osteo arthritis knee,66
frailty,66
"osteoporosis, postmenopausal",66
rhinitis,65
gestational diabetes mellitus,65
gastroesophageal junction adenocarcinoma,65
stage iv mantle cell lymphoma,65
wound healing,65
"solid tumor, adult",65
transient ischemic attack,65
short bowel syndrome,65
dengue,65
hiv prevention,65
recurrent childhood acute myeloid leukemia,65
gallbladder cancer,65
preterm infant,65
hepatitis c virus infection,65
gastrointestinal stromal tumors,65
malocclusion,65
cognitive change,65
xerostomia,65
brain tumors,65
aggression,64
stage iv adult diffuse large cell lymphoma,64
laparoscopy,64
sleep apnea syndromes,64
recurrent glioblastoma,64
androgenetic alopecia,64
periodontal disease,64
gastrointestinal stromal tumor,64
"urinary bladder, overactive",64
nafld,64
shock,64
lumbar spinal stenosis,64
"rhinitis, allergic, perennial",64
postmenopausal osteoporosis,64
intraocular lymphoma,64
hematological malignancies,64
non-small cell lung cancer (nsclc),63
"infant, premature",63
barrett's esophagus,63
brain injury,63
mechanical ventilation complication,63
peripheral vascular diseases,63
adult nasal type extranodal nk/t-cell lymphoma,62
stage iii multiple myeloma,62
scleroderma,62
metastatic pancreatic adenocarcinoma,62
migraine headache,62
stage iv small lymphocytic lymphoma,62
diabetic neuropathy,62
virus diseases,62
fasting,62
stage iv grade 2 follicular lymphoma,62
stage iv grade 1 follicular lymphoma,62
cognition,62
urinary retention,62
hysterectomy,61
oncology,61
cachexia,61
chronic fatigue syndrome,61
safety issues,61
huntington disease,61
immunosuppression,61
mild traumatic brain injury,61
"arthroplasty, replacement, hip",61
chemotherapy,61
sexual behavior,60
acute heart failure,60
schizophreniform disorder,60
"obesity, childhood",60
renal cancer,60
proliferative diabetic retinopathy,60
"neoplasms, breast",60
plasma cell myeloma,60
huntington's disease,60
hyponatremia,60
acellular pertussis,60
hyperopia,60
adult acute myeloblastic leukemia without maturation (m1),60
congenital bleeding disorder,60
bronchial asthma,60
refractory acute myeloid leukemia,60
varicella,60
satisfaction,59
adult acute monocytic leukemia (m5b),59
dehydration,59
varicose veins,59
secondary myelodysplastic syndromes,59
estrogen receptor positive,59
adult erythroleukemia (m6a),59
tendinopathy,59
carotid stenosis,59
adult pure erythroid leukemia (m6b),59
testicular germ cell tumor,59
pcos,59
intraocular pressure,59
stage iv grade 3 follicular lymphoma,59
b-cell lymphoma,59
acute renal failure,59
heart valve diseases,59
marginal zone lymphoma,59
magnetic resonance imaging,59
postmenopause,59
triple-negative breast cancer,59
psychological distress,58
adult acute myeloblastic leukemia with maturation (m2),58
type1diabetes,58
peanut allergy,58
type2 diabetes mellitus,58
adult acute myelomonocytic leukemia (m4),58
adult acute monoblastic leukemia (m5a),58
"respiratory distress syndrome, adult",58
nutrition,58
bioequivalence,58
cardiac disease,58
venous insufficiency,58
food allergy,58
adult acute megakaryoblastic leukemia (m7),58
sleep disorder,58
immune thrombocytopenia,58
peri-implantitis,58
distal radius fracture,58
stage iii mantle cell lymphoma,58
fibrosis,58
drug use,58
recurrence,57
oral mucositis,57
hemorrhoids,57
hypoxemia,57
psychological stress,57
gynecologic cancer,57
dysmenorrhea,57
uterine cancer,57
metabolic diseases,57
prehypertension,57
pregnancy complications,57
addiction,57
hiv-1,57
chronic pancreatitis,57
dentin sensitivity,57
medulloblastoma,57
mobility limitation,57
"malaria, falciparum",57
hepatosplenic t-cell lymphoma,57
"suicide, attempted",57
psychosocial effects of cancer and its treatment,57
muscle spasticity,57
domestic violence,57
anal cancer,56
gastrointestinal neoplasms,56
stage ii multiple myeloma,56
ventilator associated pneumonia,56
perioperative/postoperative complications,56
dilated cardiomyopathy,56
arteriosclerosis,56
hyperalgesia,56
prolymphocytic leukemia,56
avascular necrosis,56
"diabetes mellitus, non-insulin-dependent",56
total knee replacement,56
"health knowledge, attitudes, practice",56
